Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3
1.74	2.21256	2.11677	0	-7.73329	5.78269	0	9.83865	-2.74608	0	
1.75	2.22596	2.12492	0	-7.79234	5.81441	0	9.89854	-2.77033	0	
1.76	2.23937	2.13307	0	-7.85138	5.84612	0	9.95844	-2.79457	0	
1.77	2.25278	2.14123	0	-7.91043	5.87784	0	10.0183	-2.81881	0	
1.78	2.26619	2.14938	0	-7.96948	5.90956	0	10.0782	-2.84306	0	
1.79	2.27959	2.15753	0	-8.02852	5.94128	0	10.1381	-2.8673	0	
1.8	2.293	2.16568	0	-8.08757	5.97299	0	10.198	-2.89154	0	
1.81	2.30641	2.17383	0	-8.14661	6.00471	0	10.2579	-2.91578	0	
1.82	2.31982	2.18198	0	-8.20565	6.03642	0	10.3178	-2.94002	0	
1.83	2.33323	2.19013	0	-8.26469	6.06814	0	10.3777	-2.96426	0	
1.84	2.34664	2.19828	0	-8.32373	6.09985	0	10.4375	-2.98849	0	
1.85	2.36005	2.20643	0	-8.38277	6.13157	0	10.4974	-3.01273	0	
1.86	2.37346	2.21458	0	-8.44181	6.16328	0	10.5573	-3.03697	0	
1.87	2.38687	2.22273	0	-8.50084	6.19499	0	10.6172	-3.0612	0	
1.88	2.40028	2.23088	0	-8.55988	6.22671	0	10.6771	-3.08544	0	
1.89	2.41369	2.23903	0	-8.61892	6.25842	0	10.7369	-3.10967	0	
1.9	2.4271	2.24718	0	-8.67795	6.29013	0	10.7968	-3.13391	0	
1.91	2.44051	2.25533	0	-8.73698	6.32185	0	10.8567	-3.15814	0	
1.92	2.45392	2.26348	0	-8.79602	6.35356	0	10.9166	-3.18237	0	
1.93	2.46733	2.27162	0	-8.85505	6.38527	0	10.9764	-3.2066	0	
1.94	2.48074	2.27977	0	-8.91408	6.41698	0	11.0363	-3.23083	0	
1.95	2.49415	2.28792	0	-8.97311	6.44869	0	11.0962	-3.25506	0	
1.96	2.50756	2.29606	0	-9.03214	6.4804	0	11.1561	-3.27929	0	
1.97	2.52097	2.30421	0	-9.09117	6.51211	0	11.2159	-3.30352	0	
1.98	2.53438	2.31236	0	-9.1502	6.54382	0	11.2758	-3.32775	0	
1.99	2.54779	2.3205	0	-9.20922	6.57553	0	11.3357	-3.35198	0	
2	2.56121	2.32865	0	-9.26825	6.60724	0	11.3955	-3.37621	0	
2.01	2.57462	2.33679	0	-9.32727	6.63895	0	11.4554	-3.40043	0	
2.02	2.58803	2.34494	0	-9.3863	6.67066	0	11.5153	-3.42466	0	
2.03	2.60144	2.35308	0	-9.44532	6.70237	0	11.5751	-3.44889	0	
2.04	2.61486	2.36123	0	-9.50435	6.73407	0	11.635	-3.47311	0	
2.05	2.62827	2.36937	0	-9.56337	6.76578	0	11.6949	-3.49734	0	
2.06	2.64168	2.37751	0	-9.62239	6.79749	0	11.7547	-3.52156	0	
2.07	2.65509	2.38566	0	-9.68141	6.8292	0	11.8146	-3.54578	0	
2.08	2.66851	2.3938	0	-9.74043	6.8609	0	11.8744	-3.57001	0	
2.09	2.68192	2.40194	0	-9.79945	6.89261	0	11.9343	-3.59423	0	
2.1	2.69533	2.41009	0	-9.85847	6.92432	0	11.9942	-3.61845	0	
